headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Blush","v.","ho fubela.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Bluster","v.","ho tlerdha.:","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Boar","n.","kolobe ea raha. |","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Board","n.","(a plank) lemsti, planka; (a fudle) tato-le; (fued) liyo; ve ho | fépa e mong liyo tseo a li lefang.;","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Boat","vn.","seképe, sek uciti.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Boaviling-house","n.","ntld eo mothé « lulang ho conn | ka ho lefa liyo le bete } Boast, ¥. ho ithorisa, ikitéka,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Boblan","vn.","morvutée oa litéuc| le.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Bodily","av.","ka ‘mele, ka se","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_left.png","page_027_left.txt","",""
"Bofa","holeha.",", fasa; (to | seu upon) ho rokella,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Bokolla","poka.",", hololn,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_023_right.png","page_023_right.txt","",""
"Bold","aclj.","¢ sa tsabeny, e seng boovi.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_right.png","page_027_right.txt","",""
"Boldly","adv.","kx matla, ka ho s¢ tkabe.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_right.png","page_027_right.txt","",""
"Bolt","w.","(uf a dour) mokuallo on lemali, boute; (of lightuing) tlali; v. (le shut) bho Kuala; (to ron away) ho thoba, hola, baléha.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_right.png","page_027_right.txt","",""
"Bond","n.","(anything that binds)","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_027_right.png","page_027_right.txt","",""
"Bone","n.","lesapo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bonnet","n.","katiba ca mosali.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Bonyaua","e.","Bill. (an account) lengolo £ lu molaté oa chelete le-venkeleng; (a law) mo-réro oa molay o réroang = | kh6tla.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_025_left.png","page_025_left.txt","",""
"Book","n.","buka.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Boom","v.","ho luma, kiritla.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Boon","n.","t8itso, mpho, thuso.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
"Boot","n.","seéta (se fihlang hlatung).","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_028_left.png","page_028_left.txt","",""
